id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,speechiness,instrumentalness,liveness,loudness_db
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,0.07,0.03,0.12,-6.5
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,0.05,0.64,0.09,-13.8
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,0.06,0.01,0.15,-4.8
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,0.04,0.72,0.08,-16.2
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,0.08,0.00,0.18,-3.9
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,0.03,0.91,0.10,-18.5
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,0.05,0.58,0.14,-14.6
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,0.06,0.20,0.11,-7.2
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,0.04,0.69,0.09,-15.1
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,0.07,0.05,0.13,-6.9
11,Concrete Rhythm,Metro Verse,hip hop,confident,0.74,96,0.68,0.84,0.21,0.21,0.00,0.16,-7.8
12,Moonlit Sonata,Ivory Hall,classical,calm,0.18,64,0.52,0.20,0.97,0.03,0.96,0.12,-21.4
13,Voltage Crown,Iron Anthem,metal,aggressive,0.97,168,0.43,0.55,0.03,0.08,0.00,0.19,-3.1
14,Island Sidewalk,Palm Avenue,reggae,uplifted,0.58,88,0.86,0.77,0.34,0.09,0.06,0.17,-8.6
15,Dusty Highway,Red Cedar,country,nostalgic,0.49,102,0.72,0.63,0.57,0.06,0.09,0.14,-10.7
16,Velvet Lights,Night Silk,rnb,romantic,0.46,92,0.74,0.70,0.49,0.11,0.02,0.12,-9.9
17,Laser Bloom,Prism Harbor,edm,euphoric,0.89,128,0.79,0.90,0.07,0.05,0.31,0.20,-4.4
18,Old Map Morning,Willow Thread,folk,reflective,0.33,76,0.61,0.45,0.88,0.04,0.41,0.10,-15.8
19,Solar Fiesta,Calle Nova,latin,playful,0.83,122,0.88,0.86,0.16,0.10,0.04,0.18,-5.6
20,Neon Runway,Skyline Riot,drum and bass,restless,0.94,174,0.58,0.81,0.04,0.12,0.18,0.22,-3.6
